Hanzi,Meaning,Notes,alt_sort_num
厉,stern,lì,0123
状,state of affairs,zhuàng,0242
逃,escape,táo,0295
逊,modest,xùn,0298
略,abbreviation,lüè,0311
裁,tailor,cái,0401
滴,drip,dī,0452
逐,pursue,zhú,0524
恩,kindness,ēn,0570
摩,rub,mó,0586
购,purchase,gòu,0686
赏,prize,shǎng,0703
励,encourage,lì,0736
苏,revive,sū,0745
揪,hold tight,jiū,0770
粉,powder,fěn,0779
尺,ruler,chǐ,0894
折,discount,zhé,0932
哲,philosopher,zhé,0933
逝,pass away,shì,0934
著,author,zhù,1040
坠,plunge,zhuì,1070
贸,trade,mào,1108
辟,repudiate,pì,1187
艳,gorgeous,yàn,1334
辅,supplement,fǔ,1380
暇,spare time,xiá,1403
勒,tighten,lēi,1409
掩,conceal,yǎn,1485
叭,trumpet,bā,1501
咕,mutter,gū,1502
胆,gall bladder,dǎn,1503
咱,we (inclusive),zán,1504
肿,swollen,zhǒng,1505
串,string together,chuàn,1506
吓,terrify,xià,1507
罩,overspread,zhào,1508
兽,beast,shòu,1509
嚣,hubbub,xiāo,1510
矗,stand straight,chù,1511
颠,invert,diān,1512
巩,strengthen,gǒng,1513
叨,talkative,dāo,1514
刮,scrape,guā,1515
盯,stare at,dīng,1516
呵,rebuke,hē,1517
姑,father's sister,gū,1518
婴,baby,yīng,1519
姆,nanny,mǔ,1520
兢,cautious,jīng,1521
奋,exert oneself,fèn,1522
夹,press from both sides,jiā,1523
颊,cheek,jiá,1524
厕,toilet,cè,1525
硕,big,shuò,1526
砌,lay brick,qì,1527
哨,whistle,shào,1528
晃,sway,huàng,1529
泪,tears,lèi,1530
泄,discharge,xiè,1531
泊,moor,bó,1532
沾,soak,zhān,1533
渺,insignificant,miǎo,1534
汰,get rid of,tài,1535
咏,chant,yǒng,1536
腺,gland,xiàn,1537
鲁,Lu,lǔ,1538
坦,level,tǎn,1539
坝,dam,bà,1540
涯,bank,yá,1541
娃,newborn,wá,1542
肘,elbow,zhǒu,1543
碍,obstruct,ài,1544
夺,take by force,duó,1545
灼,scorch,zhuó,1546
炒,stir-fry,chǎo,1547
灶,cooking stove,zào,1548
哩,mile,lǐ,1549
厘,smidgen,lí,1550
鲤,carp,lǐ,1551
嘿,Hey!,hēi,1552
熏,treat with smoke,xūn,1553
丹,cinnabar red,dān,1554
炯,shining,jiǒng,1555
晌,part of the day,shǎng,1556
淌,trickle,tǎng,1557
宁,calm,níng,1558
寡,widowed,guǎ,1559
喧,boisterous,xuān,1560
棚,shed,péng,1561
柏,cypress,bǎi,1562
朴,plain,pǔ,1563
朵,flouds,duǒ,1564
杠,thick stick,gàng,1565
椅,chair,yǐ,1566
樱,cherry,yīng,1567
梢,treetops,shāo,1568
杜,prevent,dù,1569
杰,outstanding,jié,1570
桐,paulownia,tóng,1571
宋,Song Dynasty,sòng,1572
桂,cassia-bark tree,guì,1573
淋,drench,lín,1574
焚,burn,fén,1575
厢,side room,xiāng,1576
昧,obscure,mèi,1577
朱,vermillion,zhū,1578
株,tree trunk,zhū,1579
萌,bud,méng,1580
苟,careless,gǒu,1581
苛,exacting,kē,1582
萝,edible root,luó,1583
膜,membrane,mó,1584
暮,sunset,mù,1585
寞,solitary,mò,1586
猫,cat,māo,1587
狭,narrow,xiá,1588
狸,raccoon dog,lí,1589
犹,just like,yóu,1590
燃,ignite,rán,1591
咒,curse,zhòu,1592
嗅,sniff,xiù,1593
牢,jail,láo,1594
牡,dude,mǔ,1595
宪,constitution,xiàn,1596
赞,succor,zàn,1597
伞,umbrella,sǎn,1598
舍,abode,shè,1599
啥,wha?,shá,1600
洽,in agreement,qià,1601
旺,thriving,wàng,1602
碧,green jade,bì,1603
琐,trivial,suǒ,1604
汪,tearful,wāng,1605
枉,crooked,wǎng,1606
珠,pearl,zhū,1607
噩,shocking,è,1608
栓,plug,shuān,1609
柱,pillar,zhù,1610
钥,key,yào,1611
钻,drill,zuān,1612
钞,paper money,chāo,1613
锁,lock,suǒ,1614
销,put up for sale,xiāo,1615
锣,gong,luó,1616
迫,compel,pò,1617
迁,resituate,qiān,1618
逼,press,bī,1619
辽,far away,liáo,1620
逻,make the rounds,luó,1621
逞,flaunt,chěng,1622
轨,rails,guǐ,1623
轧,flatten,yà,1624
辐,spokes,fú,1625
链,chain,liàn,1626
煎,saute,jiān,1627
喻,figure of speech,yù,1628
榆,elm,yú,1629
胳,upper limb,gē,1630
厦,skyscraper,shà,1631
牵,lead along,qiān,1632
浑,muddled,hún,1633
晕,dizzy,yūn,1634
炕,brick-heated bed,kàng,1635
膏,ointment,gāo,1636
淳,honest,chún,1637
亨,go smoothly,hēng,1638
哼,hum,hēng,1639
鲸,whale,jīng,1640
壳,shell,ké,1641
洁,spotless,jié,1642
枚,small objects,méi,1643
牧,herd,mù,1644
玫,rose,méi,1645
敦,candid,dūn,1646
墩,mound,dūn,1647
瞻,look upward,zhān,1648
谓,meaning,wèi,1649
询,inquire,xún,1650
讥,deride,jī,1651
罚,penalize,fá,1652
订,place an order,dìng,1653
谅,forgive,liàng,1654
诺,promise,nuò,1655
讯,interrogate,xùn,1656
谍,espionage,dié,1657
碟,saucer,dié,1658
贰,II,èr,1659
腻,sick and tired of,nì,1660
嘎,caw,gā,1661
域,domain,yù,1662
栽,sow,zāi,1663
戚,kin,qī,1664
蔑,despise,miè,1665
喊,yell,hǎn,1666
溅,splatter,jiàn,1667
浇,sprinkle,jiāo,1668
涩,astringent,sè,1669
址,address,zhǐ,1670
赴,go to,fù,1671
趟,trip,tàng,1672
堤,dike,dī,1673
津,Tianjin,jīn,1674
键,keyboard keys,jiàn,1675
婿,son-in-law,xù,1676
袜,socks,wà,1677
衰,decline,shuāi,1678
衷,innermost feelings,zhōng,1679
猿,ape,yuán,1680
吊,dangle,diào,1681
币,currency,bì,1682
帕,handkerchief,pà,1683
帖,note,tiě,1684
帆,sail,fān,1685
幅,width of cloth,fú,1686
锦,brocade,jǐn,1687
沛,copious,pèi,1688
柿,persimmon,shì,1689
棘,thorn bushes,jí,1690
蕾,flower bud,lěi,1691
尝,taste,cháng,1692
坛,altar,tán,1693
枣,jujube,zǎo,1694
吞,gulp down,tūn,1695
妖,bewitching,yāo,1696
沃,fertile,wò,1697
袄,short Chinese-style coat,ǎo,1698
轿,sedan chair,jiào,1699
垃,garbage,lā,1700
啼,weep aloud,tí,1701
蒂,fruit stem,dì,1702
顷,100 Chinese acres,qǐng,1703
匙,spoon,chí,1704
乖,well-behaved,guāi,1705
乘,hitch a ride,chéng,1706
剩,leftover,shèng,1707
毕,complete,bì,1708
棍,club,gùn,1709
谐,in accord,xié,1710
柴,firewood,chái,1711
沦,sink,lún,1712
敏,quick-witted,mǐn,1713
霉,mildew,méi,1714
迄,so far,qì,1715
砍,chop,kǎn,1716
坎,hump,kǎn,1717
炊,cook,chuī,1718
钦,think highly of,qīn,1719
剖,cut open,pōu,1720
菩,bodhisattva,pú,1721
黯,tenebrous,àn,1722
赢,win,yíng,1723
芒,mango,máng,1724
荒,wasteland,huāng,1725
谎,lie,huǎng,1726
茫,boundless,máng,1727
坊,workshop,fáng,1728
芳,aromatic,fāng,1729
访,call on,fǎng,1730
淤,silt,yū,1731
熬,stew,áo,1732
膀,upper arm,bǎng,1733
磅,pound,bàng,1734
榜,roster,bǎng,1735
锐,sharp,ruì,1736
虹,rainbow,hóng,1737
蝠,bat,fú,1738
浊,turbid,zhuó,1739
蝗,locust,huáng,1740
蛙,frog,wā,1741
烛,candle,zhú,1742
茧,cocoon,jiǎn,1743
蚕,silkworm,cán,1744
胞,placenta,bāo,1745
炮,cannon,pào,1746
袍,robe,páo,1747
雹,hail,báo,1748
豪,unrestrained,háo,1749
啄,peck,zhuó,1750
琢,chisel,zhuó,1751
遂,satisfy,suì,1752
嫁,marry,jià,1753
肠,intestines,cháng,1754
杨,poplar,yáng,1755
烫,scald,tàng,1756
荡,licentious,dàng,1757
姜,ginger,jiāng,1758
详,detailed,xiáng,1759
羡,envy,xiàn,1760
栏,railing,lán,1761
拦,impede,lán,1762
唯,solely,wéi,1763
雀,sparrow,què,1764
堆,pile,duī,1765
雕,sculpture,diāo,1766
截,lop off,jié,1767
霍,all at once,huò,1768
